LCA_CASE_EMPLOYER_NAME,LCA_CASE_EMPLOYER_ADDRESS,LCA_CASE_EMPLOYER_CITY,LCA_CASE_EMPLOYER_STATE,LCA_CASE_EMPLOYER_POSTAL_CODE,LCA_CASE_SOC_NAME,LCA_CASE_JOB_TITLE,FULL_TIME_POS,TOTAL_WORKERS,LCA_CASE_WORKLOC1_CITY,LCA_CASE_WORKLOC1_STATE,LCA_CASE_WORKLOC2_CITY,LCA_CASE_WORKLOC2_STATE
"ARCUS TECHNOLOGIES DBA KAT TECH SYSTEMS, INC.",855 E. GOLF ROAD,ARLINGTON HEIGHTS,IL,60005,"Software Developers, Applications",SOFTWARE ENGINEER,Y,1,ARLINGTON HEIGHTS,IL,,
"ARGO SE, INC.",2150 E. LAKE COOK ROAD,BUFFALO GROVE,IL,60089,"Software Developers, Systems Software",SOFTWARE ENGINEER,Y,1,BUFFALO GROVE,IL,,
ENOVA FINANCIAL HOLDINGS LLC,200 WEST JACKSON BLVD,CHICAGO,IL,60606,Computer Systems Analysts,OPERATIONS SUPPORT ENGINEER II,Y,2,CHICAGO,IL,,
"PROSOFT TECHNOLOGY GROUP, INC.",2001 BUTTERFIELD ROAD,DOWNERS GROVE,IL,60515,Computer Systems Analysts,SENIOR PROGRAMMER ANALYST,Y,1,DOWNERS GROVE,IL,,
"YASH TECHNOLOGIES, INC.",605 17TH AVENUE,EAST MOLINE,IL,61244,Computer Systems Analysts,SAP CONSULTANT,Y,1,EAST MOLINE,IL,,
ACCENTURE LLP,161 N. CLARK ST.,CHICAGO,IL,60601,Management Analysts,CONSULTANT,Y,1,PEORIA,IL,,
ZURICH AMERICAN INSURANCE COMPANY,1400 AMERICAN LANE,SCHAUMBURG,IL,60196,Management Analysts,STRATEGY AND OPERATIONAL PLANNING ANALYST,Y,1,SCHAUMBURG,IL,,
ELITE IT SOLUTIONS INC,"960 CLOCK TOWER DR, SUITE F3",SPRINGFIELD,IL,62704,Computer Programmers,PROGRAMMER ANALYST,Y,1,SPRINGFIELD,IL,SPRINGFIELD,IL
MEDSHPERE CORP,4839 MAIN STREET,SKOKIE,IL,60077,Biomedical Engineers,BIOMEDICAL ENGINEER,Y,1,SKOKIE,IL,,
"SERIONIX, INC.",60 HAZELWOOD DRIVE,CHAMPAIGN,IL,61820,Materials Scientists,VICE PRESIDENT OF ENGINEERING,Y,1,CHAMPAIGN,IL,,
"EDUCATORS ADVANCEMENT GROUP, INC.",20624 ABBEY WOODS COURT NORTH,FRANKFORT,IL,60423,"Software Developers, Applications",SR. WEB APPLICATION DEVELOPER,Y,1,CHICAGO,IL,,
SOUTHERN ILLINOIS UNIVERSITY SCHOOL OF MEDICINE,327 WEST CALHOUN AVENUE,SPRINGFIELD,IL,62794,Surgeons,ASSISTANT PROFESSOR,Y,1,SPRINGFIELD,IL,,
SBP CONSULTING INC.,4900 38TH AVENUE,MOLINE,IL,61265,Computer Systems Analysts,ERP SYSTEMS ANALYST,Y,1,MOLINE,IL,,
GLOBAL INFOTECH INC,120 W GOLF ROAD,SCHAUMBURG,IL,60195,Computer Systems Analysts,SYSTEMS ANALYST,Y,1,SCHAUMBURG,IL,HARRISBURG,PA
TEKLINK INTERNATIONAL INC.,40 SHUMAN BLVD.,NAPERVILLE,IL,60563,"Software Developers, Applications",SENIOR SAP BI CONSULTANT,Y,5,DEERFIELD,IL,ATLANTA,GA
ACCENTURE LLP,161 N CLARK STREET,CHICAGO,IL,60601,"Software Developers, Applications",HYPERION PLANNING LEAD,Y,1,CHICAGO,IL,CHICAGO,IL
AMMERAAL BELTECH USA,7501 N. ST. LOUIS AVE.,SKOKIE,IL,60076,"Managers, All Other",SUPPLY CHAIN MANAGER,Y,1,SKOKIE,IL,,
SBP CONSULTING INC.,4900 38TH AVENUE,MOLINE,IL,61265,Computer Systems Analysts,ERP SYSTEMS ANALYST,Y,1,MOLINE,IL,,
"CGN & ASSOCIATES, INC.",415 SW WASHINGTON STREET,PEORIA,IL,61602,"Software Developers, Systems Software",LEAD SOFTWARE ENGINEER,Y,1,PEORIA,IL,,
WALGREEN CO.,300 WILMOT ROAD,DEERFIELD,IL,60015,Market Research Analysts and Marketing Specialists,"PHARMACY SPECIALIST, HEALTHCARE SOLUTIONS GROUP",Y,1,DEERFIELD,IL,,
HAVI GLOBAL SOLUTIONS LLC,3500 LACEY ROAD,DOWNERS GROVE,IL,60515,Graphic Designers,GRAPHICS SPECIALIST,Y,1,DOWNERS GROVE,IL,,
VENSAR TECHNOLOGY INC,2015 S ARLINGTON HEIGHTS ROAD,ARLINGTON HEIGHTS,IL,60005,Computer Programmers,PROGRAMMER ANALYST,Y,1,ARLINGTON HEIGHTS,IL,,
ACCENTURE LLP,161 N. CLARK ST.,CHICAGO,IL,60601,Management Analysts,BUSINESS ANALYST,Y,2,NORTHBROOK,IL,,
"VTEKH, INC.",915 NORTH PLUM GROVE ROAD,SCHAUMBURG,IL,60173,Computer Programmers,COMPUTER PROGRAMMER,Y,1,SCHAUMBURG,IL,CLARENDON HILLS,IL
ELEMENTO L2 LLC,401 S. LASALLE,CHICAGO,IL,60605,Graphic Designers,GRAPHIC DESIGNER,Y,1,CHICAGO,IL,,
"YASH TECHNOLOGIES, INC.",605 17TH AVENUE,EAST MOLINE,IL,61244,Computer Systems Analysts,SAP CONSULTANT,Y,1,EAST MOLINE,IL,,
"KNOWLES ELECTRONICS, LLC",1151 MAPLEWOOD DRIVE,ITASCA,IL,60143,Marketing Managers,PRODUCT MANAGER,Y,1,ITASCA,IL,,
LIBSYS INC,2020 CALAMOS CT.,NAPERVILLE,IL,60563,Computer Programmers,SAP BODS,Y,1,BOLINGBROOK,IL,,
SIRITEK INC,1600 GOLF ROAD,ROLLING MEADOWS,IL,60008,Computer Systems Analysts,SYSTEMS ANALYST,Y,1,ROLLING MEADOWS,IL,HARRISBURG,PA
UNIVERSITY OF ILLINOIS,352 HENRY ADMINISTRATION BUILDING,URBANA,IL,61801,"Geography Teachers, Postsecondary",SENIOR RESEARCH SCIENTIST,Y,1,CHAMPAIGN,IL,,
ACCENTURE LLP,161 N. CLARK ST.,CHICAGO,IL,60601,Computer Systems Analysts,FUNCTIONAL CONSULTANT,Y,4,OAK BROOK,IL,,
UNIVERSITY OF ILLINOIS AT CHICAGO,"1200 W. HARRISON ST., 2160 SSB",CHICAGO,IL,60607,"Psychology Teachers, Postsecondary",VISITING ASSISTANT PROFESSOR,Y,1,CHICAGO,IL,,
VENSAR TECHNOLOGY INC,2015 S ARLINGTON HEIGHTS ROAD,ARLINGTON HEIGHTS,IL,60005,Database Administrators,PEOPLE SOFT ADMINISTRATOR,Y,1,ARLINGTON HEIGHTS,IL,,
"DIAMOND MARKETING SOLUTIONS GROUP, INC.",620 STETSON AVENUE,ST. CHARLES,IL,60174,"Software Developers, Applications",SR. APPLICATION DEVELOPER,Y,1,BLOOMINGDALE,IL,,
"ARCUS TECHNOLOGIES DBA KAT TECH SYSTEMS, INC.",855 E. GOLF ROAD,ARLINGTON HEIGHTS,IL,60005,"Software Developers, Applications",SOFTWARE ENGINEER,Y,1,ARLINGTON HEIGHTS,IL,,
"FLUID HANDLING, LLC",8200 N. AUSTIN AVE.,MORTON GROVE,IL,60053,Logisticians,SUPPLY CHAIN SPECIALIST,Y,1,MORTON GROVE,IL,,
JACOBS & CLEVENGER INC.,SUITE 1700,CHICAGO,IL,60654,Market Research Analysts and Marketing Specialists,MARKETING ANALYST,Y,1,CHICAGO,IL,,
SBP CONSULTING INC.,4900 38TH AVENUE,MOLINE,IL,61265,Computer Systems Analysts,PROGRAMMER ANALYST,Y,1,MOLINE,IL,,
MAGNET-SCHULTZ OF AMERICA INC.,401 PLAZA DRIVE,WESTMONT,IL,60559,Industrial Engineers,INDUSTRIAL ENGINEER,Y,1,WESTMONT,IL,,
NUMERIC TECHNOLOGIES INC,4200 CANTERA DRIVE,WARRENVILLE,IL,60555,Computer Programmers,PROGRAMMER ANALYST,Y,5,WARRENVILLE,IL,CUPERTINO,CA
9DOTS TECHNOLOGY INC.,105 S. ROSELLE ROAD,SCHAUMBURG,IL,60193,Computer Programmers,PROGRAMMER ANALYST,Y,1,SCHAUMBURG,IL,SCHAUMBURG,IL
"VENSI, INC.","750 W. LAKE COOK RD.,",BUFFALO GROVE,IL,60089,"Software Developers, Applications",SOFTWARE ENGINEER,Y,2,BUFFALO GROVE,IL,,
9DOTS TECHNOLOGY INC.,105 S. ROSELLE ROAD,SCHAUMBURG,IL,60193,Computer Programmers,PROGRAMMER ANALYST,Y,1,SCHAUMBURG,IL,SCHAUMBURG,IL
ACCENTURE LLP,161 N. CLARK ST.,CHICAGO,IL,60601,Management Analysts,BUSINESS ANALYST,Y,2,BLOOMINGTON,IL,,
INTELLIPEOPLE,2001 BUTTERFIELD ROAD,DOWNERS GROVE,IL,60515,Computer Systems Analysts,PROGRAMMER ANALYST,Y,1,DOWNERS GROVE,IL,,
ENABLON NORTH AMERICA CORPORATION,"233 SOUTH WACKER DRIVE, 54TH FLOOR",CHICAGO,IL,60606,Computer Systems Analysts,SOFTWARE SERVICES ANALYST,Y,1,CHICAGO,IL,,
GLOBAL INFOTECH INC,120 W GOLF ROAD,SCHAUMBURG,IL,60195,Computer Programmers,PROGRAMMER ANALYST,Y,1,SCHAUMBURG,IL,SHREWSBURY,NJ
"YASH TECHNOLOGIES, INC.",605 17TH AVENUE,EAST MOLINE,IL,61244,Computer Systems Analysts,SAP CONSULTANT,Y,1,EAST MOLINE,IL,,
"TRIBUNE INTERACTIVE, INC.",435 N. MICHIGAN AVENUE,CHICAGO,IL,60611,Market Research Analysts and Marketing Specialists,"ANALYST, DIGITAL DATA (ASSOCIATE)",Y,1,CHICAGO,IL,,
OSF SAINT FRANCIS MEDICAL CENTER,530 N E GLEN OAK AVENUE,PEORIA,IL,61637,"Internists, General",PHYSICIAN,Y,1,PEORIA,IL,KEWANEE,IL
INTELLIPEOPLE,2001 BUTTERFIELD ROAD,DOWNERS GROVE,IL,60515,Computer Systems Analysts,BUSINESS SYSTEMS ANALYST,Y,1,DOWNERS GROVE,IL,,
GREENLEE TEXTRON INC.,4455 BOEING DRIVE,ROCKFORD,IL,61109,Computer Systems Analysts,BUSINESS SYSTEMS ANALYST,Y,1,ROCKFORD,IL,,
"SCIGON SOLUTIONS, INC.",420 LAKE COOK RD,DEERFIELD,IL,60015,"Software Developers, Applications",.NET DEVELOPER,Y,1,DEERFIELD,IL,,
"ARGO SE, INC.",2150 E. LAKE COOK ROAD,BUFFALO GROVE,IL,60089,"Software Developers, Systems Software",SOFTWARE ENGINEER,Y,1,BUFFALO GROVE,IL,,
"PETERSON  TECHNOLOGY PARTNERS, INC.",1600 GOLF ROAD,ROLLING MEADOWS,IL,60008,Computer Programmers,JAVA DEVELOPER,Y,1,CHICAGO,IL,,
ENABLON NORTH AMERICA CORPORATION,"233 SOUTH WACKER DRIVE, 54TH FLOOR",CHICAGO,IL,60606,"Computer Occupations, All Other",QA SPECIALIST,Y,1,CHICAGO,IL,,
VENSAR TECHNOLOGY INC,2015 S ARLINGTON HEIGHTS ROAD,ARLINGTON HEIGHTS,IL,60005,Network and Computer Systems Administrators,NETWORK ANALYST,Y,1,ARLINGTON HEIGHTS,IL,SCHAUMBURG,IL
"ARCUS TECHNOLOGIES DBA KAT TECH SYSTEMS, INC.",855 E. GOLF ROAD,ARLINGTON HEIGHTS,IL,60005,Computer Systems Analysts,PROGRAMMER ANALYST,Y,1,ARLINGTON HEIGHTS,IL,,
REND LAKE CONSERVANCY DISTRICT,REND LAKE CONSERVANCY DISTRICT,BENTON,IL,62812,Chemical Technicians,INTERCITY WATER SYSTEM LABORATORY OPERATOR(CHEMIST,Y,1,BENTON,IL,,
P3 LOGIC INC,26W014 JEROME AVE,WHEATON,IL,60187,Network and Computer Systems Administrators,NETWORK AND COMPUTER SYSTEMS ADMINISTRATOR,Y,1,WHEATON,IL,,
INTELLIPEOPLE,2001 BUTTERFIELD ROAD,DOWNERS GROVE,IL,60515,Computer Systems Analysts,PROGRAMMER ANALYST,Y,1,DOWNERS GROVE,IL,,
ELITE IT SOLUTIONS INC,"960 CLOCK TOWER DR, SUITE F3",SPRINGFIELD,IL,62704,Computer Programmers,PROGRAMMER ANALYST,Y,1,SPRINGFIELD,IL,SPRINGFIELD,IL
"THERAPEUTIC PROTEINS INTERNATIONAL, LLC",3440 S. DEARBORN STREET,CHICAGO,IL,60616,Chemical Engineers,"PROCESS ENGINEER III, TECHNOLOGY DEVELOPMENT",Y,1,CHICAGO,IL,,
CAPGEMINI FINANCIAL SERVICES USA INC,6400 SHAFER COURT,ROSEMONT,IL,60018,"Software Developers, Applications",SENIOR CONSULTANT,Y,10,METTAWA,IL,TAMPA,FL
"D&D INTERNETWORKING, INC.",2385 HAMMOND DR.,SCHAUMBURG,IL,60173,,SYSTEMS ARCHITECT,Y,1,SCHAUMBURG,IL,,
"YASH TECHNOLOGIES, INC.",605 17TH AVENUE,EAST MOLINE,IL,61244,Computer Systems Analysts,SAP CONSULTANT,Y,1,EAST MOLINE,IL,,
CAPGEMINI FINANCIAL SERVICES USA INC,6400 SHAFER COURT,ROSEMONT,IL,60018,Computer Systems Analysts,SENIOR CONSULTANT,Y,3,ROLLING MEADOWS,IL,ROSEMONT,IL
"FLUID HANDLING, LLC",8200 N. AUSTIN AVE.,MORTON GROVE,IL,60053,Mechanical Engineers,MECHANICAL ENGINEER 1,Y,1,MORTON GROVE,IL,,
GLOBAL INFOTECH INC,120 W GOLF ROAD,SCHAUMBURG,IL,60195,Computer Systems Analysts,SYSTEMS ANALYST,Y,1,SCHAUMBURG,IL,SHREWSBURY,NJ
SBP CONSULTING INC.,4900 38TH AVENUE,MOLINE,IL,61265,Computer Systems Analysts,ERP SYSTEMS ANALYST,Y,1,MOLINE,IL,,
"CERTIFIED LABORATORIES, INC.","175 E. CROSSROADS PKWY, SUITE F",BOLINGBROOK,IL,60440,Biological Technicians,BIOLOGICAL TECHNICIAN,Y,1,BOLINGBROOK,IL,,
THE UNIVERSITY OF CHICAGO,5801 S. ELLIS AVE,CHICAGO,IL,60637,"Mathematical Science Teachers, Postsecondary",L.E. DICKSON INSTRUCTOR,Y,1,CHICAGO,IL,,
UNIVERSITY OF ILLINOIS,352 HENRY ADMINISTRATION BUILDING,URBANA,IL,61801,"Business Teachers, Postsecondary",ASSISTANT PROFESSOR,Y,1,CHAMPAIGN,IL,,
SUN POWER CONSULTING LLC,920 DAVIS ROAD,ELGIN,IL,60123,"Software Developers, Applications",SOFTWARE ENGINEER,Y,1,ELGIN,IL,,
"IDEA TECH SOLUTIONS, INC.","270 CENTER DRIVE, UNIT 1",VERNON HILLS,IL,60061,Computer Programmers,PROGRAMMER ANALYST,Y,1,DEERFIELD,IL,,
"IDEA TECH SOLUTIONS, INC.","270 CENTER DRIVE, UNIT 1",VERNON HILLS,IL,60061,Computer Programmers,PROGRAMMER ANALYST,Y,1,LINCOLNSHIRE,IL,,
GLOBAL INFOTECH INC,120 W GOLF ROAD,SCHAUMBURG,IL,60195,Computer Systems Analysts,SYSTEMS ANALYST,Y,1,SCHAUMBURG,IL,MCLEAN,VA
"SCALAR USA, INC.",3315 ALGONQUIN ROAD,ROLLING MEADOWS,IL,60008,Computer Systems Analysts,PROGRAMMER ANALYST,Y,1,NORTH CHICAGO,IL,,
HURON CONSULTING SERVICES LLC,"550 W. VAN BUREN STREET, 17TH FLOOR",CHICAGO,IL,60607,Medical and Health Services Managers,HEALTHCARE MANAGER,Y,1,CHICAGO,IL,ORLANDO,FL
SBP CONSULTING INC.,4900 38TH AVENUE,MOLINE,IL,61265,Computer Systems Analysts,ERP SYSTEMS ANALYST,Y,1,MOLINE,IL,,
ENABLON NORTH AMERICA CORPORATION,"233 SOUTH WACKER DRIVE, 54TH FLOOR",CHICAGO,IL,60606,Computer Systems Analysts,SOFTWARE SERVICES ANALYST,Y,1,CHICAGO,IL,,
"ALREK BUSINESS SOLUTIONS, INC",804 WOODFIELD ROAD,SCHAUMBURG,IL,60173,Computer Programmers,JAVA DEVELOPER,Y,15,SCHAUMBURG,IL,,
"YASH TECHNOLOGIES, INC.",605 17TH AVENUE,EAST MOLINE,IL,61244,Computer Systems Analysts,SAP CONSULTANT,Y,1,EAST MOLINE,IL,,
9DOTS TECHNOLOGY INC.,105 S. ROSELLE ROAD,SCHAUMBURG,IL,60193,"Electronics Engineers, Except Computer",RF ENGINEER,Y,1,CHICAGO,IL,SCHAUMBURG,IL
VENSAR TECHNOLOGY INC,2015 S ARLINGTON HEIGHTS ROAD,ARLINGTON HEIGHTS,IL,60005,Computer Programmers,PROGRAMMER ANALYST,Y,1,ARLINGTON HEIGHTS,IL,,
"ORBITZ WORLDWIDE, LLC",500 WEST MADISON STREET,CHICAGO,IL,60661,"Computer Occupations, All Other",MICROSTRATEGY DEVELOPER,Y,1,CHICAGO,IL,,
"ARCUS TECHNOLOGIES DBA KAT TECH SYSTEMS, INC.",855 E. GOLF ROAD,ARLINGTON HEIGHTS,IL,60005,Computer Systems Analysts,PROGRAMMER ANALYST,Y,1,ARLINGTON HEIGHTS,IL,,
"DECATUR FOUNDRY, INC.",1745 NORTH ILLINOIS STREET,DECATUR,IL,62526,"Engineers, All Other",LEAN MANUFACTURING ENGINEER,Y,1,DECATUR,IL,,
WOLVERINE ASSET MANAGEMENT LLC,175 W. JACKSON BOULEVARD,CHICAGO,IL,60604,"Financial Specialists, All Other",ANALYST,Y,1,CHICAGO,IL,,
CITADEL LLC,131 S. DEARBORN STREET,CHICAGO,IL,60603,"Software Developers, Applications",TRADE SUPPORT ANALYST,Y,1,CHICAGO,IL,,
FOUR SEASONS HEATING AND AIR CONDITIONING,5701 W. 73RD STREET,CHICAGO,IL,60638,Computer Programmers,COMPUTER PROGRAMMER,Y,1,CHICAGO,IL,,
"NETRA TECHNOLOGIES, INC.",40 SHUMAN BOULEVARD,NAPERVILLE,IL,60563,"Software Developers, Applications",PROGRAMMER ANALYST,Y,2,MORTON,IL,,
"LANGUAGE STARS, LLC.",1444 WEST WILLOW STREET,CHICAGO,IL,60642-1524,Self-Enrichment Education Teachers,FOREIGN LANGUAGE TEACHER,Y,20,ARLINGTON HEIGHTS,IL,FLOOSMOOR,IL
ENOVA FINANCIAL HOLDINGS LLC,200 WEST JACKSON BLVD,CHICAGO,IL,60606,"Software Developers, Applications",INCIDENT MANAGEMENT ENGINEER,Y,4,CHICAGO,IL,,
SBP CONSULTING INC.,4900 38TH AVENUE,MOLINE,IL,61265,Computer Systems Analysts,PROGRAMMER ANALYST,Y,1,MOLINE,IL,,
"THERAPEUTIC PROTEINS INTERNATIONAL, LLC",3440 S. DEARBORN STREET,CHICAGO,IL,60616,"Medical Scientists, Except Epidemiologists","SCIENTIST II, DOWNSTREAM PROCESS DEVELOPMENT",Y,1,CHICAGO,IL,,
"TCC WIRELESS, INC.",565 RANDY RD,CAROL STREAM,IL,60188,Management Analysts,BUSINESS ANALYST,Y,1,CAROL STREAM,IL,,
SOFTWARE TECHNOLOGY LABS INC,12421 BOB WHITE LANE,PLAINFIELD,IL,60585,Computer Programmers,COMPUTER PROGRAMMERS,Y,1,PLAINFIELD,IL,,
ELITE IT SOLUTIONS INC,"960 CLOCK TOWER DR, SUITE F3",SPRINGFIELD,IL,62704,Computer Programmers,PROGRAMMER ANALYST,Y,1,SPRINGFIELD,IL,SPRINGFIELD,IL
"GOETTSCH PARTNERS, INC.",224 S. MICHIGAN AVE.,CHICAGO,IL,60604,"Architects, Except Landscape and Naval",INTERN ARCHITECT,Y,1,CHICAGO,IL,,
"SP CONSULTING, INC.",830 E. HIGGINS RD.,SCHAUMBURG,IL,60173,"Software Developers, Applications",SOFTWARE ENGINEER,Y,1,ADDISON,IL,,
HURON CONSULTING SERVICES LLC,550 W. VAN BUREN STREET,CHICAGO,IL,60607,"Software Developers, Applications",JAVA APPLICATION DEVELOPER (ANALYST),Y,1,CHICAGO,IL,,
IS CHICAGO MANAGEMENT LLC,1301 NORTH STATE PARKWAY,CHICAGO,IL,60610,Human Resources Specialists,HUMAN RESOURCES SPECIALIST,Y,1,CHICAGO,IL,,
SIRITEK INC,1600 GOLF ROAD,ROLLING MEADOWS,IL,60008,Computer Systems Analysts,SYSTEMS ANALYST,Y,1,ROLLING MEADOWS,IL,SHREWSBURY,NJ
ACCENTURE LLP,161 N. CLARK ST.,CHICAGO,IL,60601,Management Analysts,CONSULTANT,Y,3,BLOOMINGTON,IL,,
VENSAR TECHNOLOGY INC,2015 S ARLINGTON HEIGHTS ROAD,ARLINGTON HEIGHTS,IL,60005,Computer Programmers,SR.PROGRAMMER ANALYST,Y,1,ARLINGTON HEIGHTS,IL,,
"UNITY IT, INC.",939 WEST NORTH AVENUE,CHICAGO,IL,60642,Computer Programmers,ETL DEVELOPER,Y,1,CHICAGO,IL,,
NORTHWESTERN MEDICAL FACULTY FOUNDATION,680 N. LAKE SHORE DRIVE,CHICAGO,IL,60611,"Internists, General",INSTRUCTOR OF MEDICINE/HOSPITALIST,Y,1,CHICAGO,IL,,
BEYOND INTERNATIONL CORPORATION LIMITED,5023 CHASE AVE,DOWNERS GROVE,IL,60515,Operations Research Analysts,OPERATION RESEARCH MANAGER,Y,1,DOWNERS GROVE,IL,,
INTELLIPEOPLE,2001 BUTTERFIELD ROAD,DOWNERS GROVE,IL,60515,Computer Systems Analysts,PROGRAMMER ANALYST,Y,1,DOWNERS GROVE,IL,,
ELITE IT SOLUTIONS INC,"960 CLOCK TOWER DR, SUITE F3",SPRINGFIELD,IL,62704,Computer Programmers,PROGRAMMER ANALYST,Y,1,SPRINGFIELD,IL,SPRINGFIELD,IL
LOYOLA UNIVERSITY MEDICAL CENTER,2160 SOUTH FIRST AVENUE,MAYWOOD,IL,60153,Physicists,ASSISTANT PROFESSOR OF PHYSICS,Y,1,MAYWOOD,IL,,
"YASH TECHNOLOGIES, INC.",605 17TH AVENUE,EAST MOLINE,IL,61244,Computer Systems Analysts,SAP CONSULTANT,Y,1,EAST MOLINE,IL,,
ENLAN CORPORATION,838 S MAY ST,CHICAGO,IL,60607,Accountants and Auditors,ACCOUNTANT,N,1,CHICAGO,IL,,
KOREAN AMERICAN WOMEN IN NEED,2434 EAST DEMPSTER ST.,DES PLAINES,IL,60016,Mental Health and Substance Abuse Social Workers,SOCIAL WORKER,Y,1,DES PLAINES,IL,,
INDUSA TECHNICAL CORPORATION,1 TRANSAM PLAZA DRIVE,OAKBROOK TERRACE,IL,60181,Sales Managers,DIRECTOR OF BUSINESS DEVELOPMENT,Y,1,OAKBROOK TERRACE,IL,,
CLAYMOUNT AMERICAS CORPORATION,2545 CURTISS STREET,DOWNERS GROVE,IL,60515,Chief Executives,CHIEF EXECUTIVE OFFICER,Y,1,DOWNERS GROVE,IL,,
NUMERIC TECHNOLOGIES INC,4200 CANTERA DRIVE,WARRENVILLE,IL,60555,Computer Systems Analysts,COMPUTER SYSTEMS ANALYST,Y,5,WARRENVILLE,IL,CUPERTINO,CA
FITZGERALD ASSOCIATES PC,912 W. LAKE STREET,CHICAGO,IL,60607-1707,Architectural and Civil Drafters,STAFF ARCHITECT,Y,1,CHICAGO,IL,,
SAVVY INFO SYSTEMS INC,120 GOLF ROAD SUITE#200,SCHAUMBURG,IL,60195,Computer Systems Analysts,SYSTEMS ANALYST,Y,1,SCHAUMBURG,IL,SCOTTSDALE,AZ
CONSOLIDATED TRADING LLC,200 W. JACKSON BLVD.,CHICAGO,IL,60606,"Securities, Commodities, and Financial Services Sa",TRADER,Y,1,CHICAGO,IL,,
"HORIZON HOBBY, INC.",4105 FIELDSTONE ROAD,CHAMPAIGN,IL,61822,Architectural and Engineering Managers,SENIOR RADIO CONTROL AIRCRAFT ENGINEER,Y,1,CHAMPAIGN,IL,,
SIRITEK INC,1600 GOLF ROAD,ROLLING MEADOWS,IL,60008,Computer Programmers,PROGRAMMER ANALYST,Y,1,CHICAGO,IL,ROLLING MEADOWS,IL
RISE INTERACTIVE,ONE SOUTH WACKER DRIVE,CHICAGO,IL,60606,Market Research Analysts and Marketing Specialists,"INTERNET MARKETING CONSULTANT, ANALYTICS",Y,1,CHICAGO,IL,,
BITWISE INC,1515 E. WOODFIELD ROAD,SCHAUMBURG,IL,60173,Computer Programmers,PROGRAMMER ANALYST,Y,1,SCHAUMBURG,IL,,
BITWISE INC,1515 E. WOODFIELD ROAD,SCHAUMBURG,IL,60173,Computer Programmers,PROGRAMMER ANALYST,Y,1,SCHAUMBURG,IL,,
"YASH TECHNOLOGIES, INC.",605 17TH AVENUE,EAST MOLINE,IL,61244,Computer Systems Analysts,PROGRAMMER ANALYST,Y,1,EAST MOLINE,IL,,
MOTOROLA MOBILITY LLC,222 W. MERCHANDISE MART PLAZA,CHICAGO,IL,60654,"Electronics Engineers, Except Computer",IMAGING ENGINEER,Y,1,CHICAGO,IL,,
CANDOR GROUP INC.,2272 95TH STREET,NAPERVILLE,IL,60564,Computer Programmers,PROGRAMMER ANALYST,Y,1,HOFFMAN ESTATES,IL,,
"BLANDER TECHNOLOGIES, LLC",353 NORTH CLARK STREET,CHICAGO,IL,60654,"Financial Specialists, All Other",QUANTITATIVE RESEARCHER,Y,1,CHICAGO,IL,,
"AMERICAN IT RESOURCE GROUP, INC",1111 NORTH PLAZA DRIVE,SCHAUMBURG,IL,60173,"Software Developers, Applications",SOFTWARE ENGINEER,Y,1,SCHAUMBURG,IL,HOFFMAN ESTATES,IL
S&C ELECTRIC COMPANY,6601 N. RIDGE BLVD,CHICAGO,IL,60626,Electrical Engineers,PROJECT SUPERVISOR (SMART GRID),Y,1,CHICAGO,IL,,
GATX CORPORATION,222 W. ADAMS,CHICAGO,IL,60606,Marketing Managers,CHINA PROJECT MANAGER,Y,1,CHICAGO,IL,,
"YASH TECHNOLOGIES, INC.",605 17TH AVENUE,EAST MOLINE,IL,61244,Computer Systems Analysts,SAP CONSULTANT,Y,1,EAST MOLINE,IL,,
CITADEL LLC,131 S. DEARBORN STREET,CHICAGO,IL,60603,Operations Research Analysts,QUANTITATIVE RESEARCHER,Y,1,CHICAGO,IL,,
"BALMORAL HOME, INC.",2055 BALMORAL AVENUE,CHICAGO,IL,60625,Medical and Health Services Managers,PATIENT SAFETY OFFICER,Y,1,CHICAGO,IL,,
MOTOROLA MOBILITY LLC,222 W. MERCHANDISE MART PLAZA,CHICAGO,IL,60654,Computer Systems Analysts,SR IT BUS SYS ANALYST,Y,1,CHICAGO,IL,,
"SCHNEIDER ELECTRIC USA, INC.",1415 SOUTH ROSELLE ROAD,PALATINE,IL,60067,Marketing Managers,MARKETING MANAGER,Y,1,PALATINE,IL,,
"YASH TECHNOLOGIES, INC.",605 17TH AVENUE,EAST MOLINE,IL,61244,Computer Systems Analysts,SAP  CONSULTANT,Y,1,EAST MOLINE,IL,,
RISE INTERACTIVE,ONE SOUTH WACKER DRIVE,CHICAGO,IL,60606,Market Research Analysts and Marketing Specialists,"SENIOR INTERNET MARKETING CONSULTANT, ANALYTICS",Y,1,CHICAGO,IL,,
MIDWEST AIR TECHNOLOGIES INC.,6700 WILDLIFE WAY,LONG GROVE,IL,60047,Market Research Analysts and Marketing Specialists,INTERNATIONAL MARKETING ANALYST,Y,1,LONG GROVE,IL,,
BITWISE INC,1515 E. WOODFIELD ROAD,SCHAUMBURG,IL,60173,Computer Programmers,PROGRAMMER ANALYST,Y,1,SCHAUMBURG,IL,,
"CES USA, INC.",235 REMINGTON BLVD.,BOLINGBROOK,IL,60440,Computer Programmers,SOFTWARE PROGRAMMER,Y,1,BOLINGBROOK,IL,,
"ORBITZ WORLDWIDE, LLC",500 WEST MADISON STREET,CHICAGO,IL,60661,"Software Developers, Systems Software",QUALITY ENGINEER I,Y,3,CHICAGO,IL,,
